store_id,area_id,name,address,owner,phone,email,status
1,10,"Wandis Lillgard","09197 Forest Street","Shelia Malec",191-971-8880,smalec0@marketwatch.com,Closed
2,25,"Arabella Rillatt","565 Troy Junction","Bengt Cafferty",964-965-0567,bcafferty1@abc.net.au,Open
3,24,"Justino Tulley","44 Elgar Plaza","Leonerd O'Gorman",932-861-6182,logorman2@sina.com.cn,Closed
4,14,"Pepita Duiged","722 Southridge Circle","Jan Soles",659-508-7265,jsoles3@usda.gov,Closed
5,3,"Kingsly Colnet","024 Burrows Lane","Garry Leblanc",622-977-2570,gleblanc4@msu.edu,Closed
6,14,"Cord Jillins","80 Welch Hill","Rodolfo Boagey",243-462-1209,rboagey5@qq.com,Open
7,5,"Tommie Gorries","09158 Little Fleur Trail","Willyt Disbrow",329-653-3863,wdisbrow6@so-net.ne.jp,Open
8,27,"Nanny McCready","65356 Waywood Court","Marrilee Goligher",294-379-7077,mgoligher7@washington.edu,Open
9,18,"Aloise Garbott","28000 Westport Place","Rocky Berndsen",468-792-1404,rberndsen8@alexa.com,Closed
10,9,"Rolph Newland","8 Johnson Avenue","Reece Coulston",969-954-6759,rcoulston9@linkedin.com,Closed
11,4,"Westleigh Braime","45271 High Crossing Park","Fons Petrozzi",256-689-9095,fpetrozzia@webeden.co.uk,Open
12,22,"Kent Huxstep","7869 Elmside Way","Blondy Knudsen",168-700-4348,bknudsenb@uol.com.br,Closed
13,7,"Trisha Paffley","72 Corscot Terrace","Correna Youde",679-608-9520,cyoudec@g.co,Closed
14,28,"Allyson Patnelli","6851 Blue Bill Park Street","Clarie Camies",250-194-4776,ccamiesd@bing.com,Open
15,7,"Sasha Puddephatt","6524 Butternut Park","Antony Toor",532-704-3866,atoore@homestead.com,Closed
16,29,"Yoshiko Orton","56656 Killdeer Point","Fredelia Strongman",935-719-9436,fstrongmanf@uol.com.br,Closed
17,17,"Percival Harg","02554 Twin Pines Pass","Freddie Beeke",619-228-0578,fbeekeg@youku.com,Open
18,15,"Sherlock Farris","5 Parkside Plaza","Tarah Gibbe",782-436-7322,tgibbeh@buzzfeed.com,Open
19,24,"Carey Dreossi","542 Clemons Circle","Ulberto Dilks",874-426-4208,udilksi@yolasite.com,Closed
20,25,"Cesaro Kolin","4 Orin Park","Lani Nudds",593-122-8747,lnuddsj@thetimes.co.uk,Closed
21,26,"Blair Bertram","17 Division Alley","Jacquelyn Oven",431-714-4560,jovenk@mtv.com,Closed
22,22,"Georgianne Johnys","0 Washington Court","Marlane Balaam",304-439-9969,mbalaaml@ftc.gov,Open
23,6,"Kara-lynn Carillo","047 Commercial Park","Goran Allone",776-103-5829,gallonem@guardian.co.uk,Open
24,14,"Erich McAlinden","1 Stang Junction","Caesar Argile",307-351-8664,cargilen@theatlantic.com,Open
25,6,"Niko Clarycott","39 Warrior Trail","Serena Hurle",863-117-0973,shurleo@adobe.com,Closed
26,9,"Welsh Ellard","655 Clemons Court","Adelice Schwerin",983-179-9427,aschwerinp@tinypic.com,Open
27,16,"Gilburt Sainsbury","233 Red Cloud Plaza","Packston Grishakov",336-465-6209,pgrishakovq@google.de,Closed
28,28,"Brigit Burk","28 Oxford Road","Deina Threlkeld",425-522-8684,dthrelkeldr@nih.gov,Open
29,3,"Katerine Wellman","4 Buell Way","Lottie Fantone",369-704-5960,lfantones@typepad.com,Open
30,6,"Francine Di Domenico","3348 Mesta Crossing","Ebonee Chaplin",602-755-5914,echaplint@bloglines.com,Open
31,30,"Leeland Holcroft","05755 Ruskin Trail","Margareta Brydone",611-854-1989,mbrydoneu@seesaa.net,Open
32,12,"Nolie Marvelley","471 Buena Vista Park","Hunfredo Canario",354-876-2076,hcanariov@qq.com,Open
33,16,"Kaiser Macura","0 Eagan Road","Hillard McQuie",811-524-8968,hmcquiew@tinyurl.com,Closed
34,10,"Den Fenn","6989 Johnson Center","Mose Ramet",387-793-1943,mrametx@youtu.be,Closed
35,21,"Ransom Diano","60 Kennedy Road","Karissa Callingham",825-891-2015,kcallinghamy@edublogs.org,Open
36,26,"Aili Leser","1 Alpine Lane","Alejandro Sibbson",922-354-5679,asibbsonz@sogou.com,Closed
37,18,"Ursola Allsep","4 Blackbird Parkway","Amalee Bouchard",102-495-4943,abouchard10@buzzfeed.com,Open
38,5,"Hagan Hebdon","7083 Clemons Terrace","Johnath Burgoin",371-808-1596,jburgoin11@nbcnews.com,Open
39,18,"Margit Divisek","32 Brown Center","Ellie Scollard",115-526-1098,escollard12@mysql.com,Open
40,14,"Dag Curd","94303 Jay Crossing","Maurise Bartolomeu",586-815-4664,mbartolomeu13@canalblog.com,Closed
41,4,"Thom Jacobovitch","2563 Merchant Avenue","Dulce Gooble",949-877-7351,dgooble14@toplist.cz,Closed
42,14,"Aymer Asaaf","40 Talisman Crossing","Devon Schach",975-860-2616,dschach15@guardian.co.uk,Open
43,19,"Aurilia Claworth","06572 Michigan Junction","Godart Adair",110-523-9492,gadair16@com.com,Open
44,30,"Layton Rudd","3 Anniversary Street","Umberto Skyrm",578-396-3609,uskyrm17@comsenz.com,Closed
45,9,"Carri Pindar","422 Sunbrook Street","Gus Beards",738-377-5161,gbeards18@tumblr.com,Closed
46,26,"Randi Rigts","36 Kennedy Hill","Ernesto Brisset",488-357-7870,ebrisset19@admin.ch,Open
47,10,"Silvester Milksop","5 Kingsford Drive","Barnabe Klehn",275-697-6461,bklehn1a@instagram.com,Closed
48,22,"Chelsae Clere","539 2nd Alley","Gianina Drees",518-418-2071,gdrees1b@yahoo.com,Closed
49,14,"Traver Rentz","19 Sachs Street","Garvy Jayne",924-973-1367,gjayne1c@globo.com,Closed
50,22,"Kenyon Forrester","6 Myrtle Terrace","Albina Leitch",207-886-0890,aleitch1d@economist.com,Closed
51,7,"Tamarra Perrone","25 Sheridan Avenue","Michale Masserel",938-880-4360,mmasserel1e@pbs.org,Open
52,16,"Gian Loney","50221 Manufacturers Lane","Nickie Le Teve",165-193-6256,nle1f@seesaa.net,Closed
53,30,"Ariella Tonbye","4 Esch Avenue","Susanetta Caras",790-971-4322,scaras1g@twitter.com,Closed
54,17,"Caryn Denness","10432 Toban Point","Raphael Dincke",155-735-7117,rdincke1h@time.com,Open
55,4,"Alexandr Slimming","172 Vernon Court","Aldric Belasco",187-630-3731,abelasco1i@webeden.co.uk,Closed
56,30,"Trixie Shapcott","787 Little Fleur Hill","Devondra Gremane",453-482-4252,dgremane1j@digg.com,Open
57,30,"Alfy Bente","959 Lakewood Gardens Plaza","Rachele Birtles",816-792-6516,rbirtles1k@vk.com,Closed
58,27,"Avie Menary","9589 Oneill Terrace","Lilia O' Sullivan",438-772-4313,lo1l@timesonline.co.uk,Closed
59,11,"Orella Pitway","162 Melrose Place","Kirby Womack",114-913-2284,kwomack1m@livejournal.com,Closed
60,15,"Leia Bladen","5567 Farragut Street","Dulciana McKitterick",351-405-9327,dmckitterick1n@icq.com,Open
61,26,"Kissee Roz","102 Katie Hill","Amanda Ronaldson",964-831-7328,aronaldson1o@washingtonpost.com,Closed
62,20,"Arleen Spellman","46881 Blackbird Park","Brigit Armal",690-444-9859,barmal1p@chron.com,Closed
63,27,"Yard Butterick","0097 Heffernan Avenue","Stacia Sargeant",405-767-1846,ssargeant1q@apple.com,Open
64,26,"Evangelia Abrey","5 Utah Crossing","Gerhard Welberry",221-108-9664,gwelberry1r@forbes.com,Closed
65,30,"Hildegaard Krelle","55 Green Ridge Court","Lilli Deinhard",903-404-9138,ldeinhard1s@nps.gov,Open
66,22,"Kenneth Burk","98 Mayfield Avenue","Angie Doornbos",982-800-7364,adoornbos1t@sciencedirect.com,Closed
67,13,"Byran Spreag","024 Del Sol Hill","Tiffanie Loyns",230-781-6883,tloyns1u@mlb.com,Open
68,14,"Kelci Klimas","21 Glendale Court","Tobye Milroy",736-658-4059,tmilroy1v@addthis.com,Closed
69,6,"Tamiko Krahl","58339 Melody Park","Malissa Wagg",837-920-8359,mwagg1w@myspace.com,Open
70,7,"Ameline Howling","9 Loomis Hill","Chev Sherrock",384-904-9001,csherrock1x@mlb.com,Open
71,13,"Tripp Spondley","57395 Northridge Hill","Prissie Daout",178-374-4641,pdaout1y@unicef.org,Closed
72,11,"Herschel Brokenshaw","4478 Fallview Avenue","Zandra Corcoran",148-679-2134,zcorcoran1z@prnewswire.com,Closed
73,20,"Quillan Gorelli","4 Mayer Alley","Ruperto Gelderd",988-174-5796,rgelderd20@example.com,Open
74,16,"Dasya Falkingham","41866 Kipling Avenue","Adriaens Cocklie",729-817-8258,acocklie21@123-reg.co.uk,Closed
75,26,"Alfie Wards","69521 Rowland Drive","Melinde Stearn",301-714-4823,mstearn22@google.com.br,Closed
76,21,"Berget Davydkov","10 Red Cloud Drive","Billye Ketts",854-677-9418,bketts23@github.io,Open
77,26,"Robbie Tatnell","81 Almo Street","Irma Clemot",866-305-1136,iclemot24@usa.gov,Open
78,12,"Waiter Chavrin","4 East Circle","Giffer Farren",218-265-6990,gfarren25@i2i.jp,Closed
79,17,"Phylys Joreau","5 Oakridge Court","Ophelia Maydway",998-168-2439,omaydway26@mit.edu,Open
80,14,"Cordula Spridgen","56731 Welch Drive","Walton Doy",936-253-9157,wdoy27@squidoo.com,Closed
81,8,"Ronni Paulisch","62347 Nobel Parkway","Batholomew Kleinstub",955-330-3072,bkleinstub28@edublogs.org,Closed
