household_id,area_id,name,address,phone,email
1,16,"Romola Furniss","948 Blackbird Avenue",699-768-7759,rfurniss0@gnu.org
2,16,"Elsy Cellier","895 Talisman Road",384-171-0217,ecellier1@about.me
3,13,"Irving Kirtlan","70 Transport Pass",687-858-4295,ikirtlan2@who.int
4,3,"Cleo Posner","49 Southridge Hill",801-177-6871,cposner3@economist.com
5,13,"Woodman Gerty","00664 Amoth Street",398-761-2636,wgerty4@diigo.com
6,24,"Glyn Ludvigsen","77 Coleman Pass",280-886-9710,gludvigsen5@usa.gov
7,18,"Juan Smickle","3 Arizona Street",853-268-0315,jsmickle6@netscape.com
8,4,"Parsifal Deeble","24576 Maple Place",808-845-1675,pdeeble7@usnews.com
9,13,"Emmett Phillott","713 Bowman Point",412-455-5079,ephillott8@wisc.edu
10,29,"Ursa Palombi","15 Chive Park",746-278-2913,upalombi9@zimbio.com
11,22,"Minetta Lefwich","47967 Reindahl Pass",734-980-5736,mlefwicha@state.gov
12,6,"Dilan Skuce","338 Scott Park",480-637-6743,dskuceb@soundcloud.com
13,7,"Prue Rawcliffe","8 Ridgeview Point",801-925-2460,prawcliffec@boston.com
14,22,"Link Brend","043 Ridge Oak Trail",544-540-0934,lbrendd@sbwire.com
15,20,"Isabelle Venning","2403 Hovde Terrace",457-877-4912,ivenninge@auda.org.au
16,16,"Kristel Shurlock","451 Bonner Alley",239-320-3358,kshurlockf@cornell.edu
17,14,"Ermentrude Kiddy","3 Gateway Drive",400-609-9456,ekiddyg@nps.gov
18,10,"Jethro Tivolier","6253 East Pass",126-405-0876,jtivolierh@ow.ly
19,13,"Lilla Labbe","097 Debs Street",538-144-6698,llabbei@marketwatch.com
20,12,"Uri Boldra","64 Caliangt Junction",844-361-0590,uboldraj@cbslocal.com
21,28,"Wells Outridge","60344 Kenwood Way",756-375-4212,woutridgek@who.int
22,8,"Devinne Going","9 Ruskin Avenue",829-750-2841,dgoingl@quantcast.com
23,21,"Buiron Sandwith","30224 Schlimgen Pass",724-539-2521,bsandwithm@blogs.com
