shipper_id,area_id,sns,name,phone,email,vehicle_plate,dose1_date,dose2_date,status
1,3,267-09-0613,"Demetre Downage",315-702-5159,ddownage0@google.co.uk,79v-914.94,2021-07-21,2021-10-06,Pending
2,13,782-70-1739,"Kaspar Briggs",855-871-5534,kbriggs1@gizmodo.com,68d-451.44,2021-08-13,2021-10-03,Busy
3,12,238-29-6333,"Agna Treversh",165-101-1729,atreversh2@utexas.edu,95z-137.98,2021-07-17,2021-09-10,Busy
4,17,121-84-3867,"Carlene Durrad",352-845-7221,cdurrad3@intel.com,88e-769.90,2021-07-05,2021-09-29,Busy
5,29,459-59-8880,"Shea Hagart",476-947-9049,shagart4@unblog.fr,69e-704.10,2021-08-01,2021-10-08,Off
6,7,680-41-5110,"Lorenza Mandrier",565-849-3872,lmandrier5@patch.com,94a-405.89,2021-08-07,2021-09-29,Pending
7,15,147-87-6132,"Agnese Trunchion",381-603-5325,atrunchion6@odnoklassniki.ru,20p-668.14,2021-07-01,2021-09-11,Busy
8,5,839-53-3526,"Deloris Winterton",942-896-5828,dwinterton7@dropbox.com,00x-680.48,2021-08-10,2021-10-05,Off
9,6,482-02-9874,"Madison Simmonite",539-412-6197,msimmonite8@admin.ch,05f-681.21,2021-07-05,2021-10-11,Pending
10,28,636-02-9667,"Fons Huard",495-896-2559,fhuard9@163.com,19a-086.83,2021-07-04,2021-09-29,Off
11,11,175-07-1065,"Hartley Dubique",580-975-7142,hdubiquea@mayoclinic.com,29o-960.91,2021-07-04,2021-10-07,Busy
12,20,479-59-5815,"Lorrayne Petrovykh",888-531-5067,lpetrovykhb@un.org,36h-130.77,2021-07-16,2021-09-29,Off
13,6,108-55-9045,"Patricia Outright",311-710-6903,poutrightc@omniture.com,75q-374.93,2021-07-08,2021-09-10,Busy
14,29,561-78-9275,"Ferrell Ansett",788-221-8593,fansettd@dailymail.co.uk,30d-903.91,2021-08-07,2021-09-14,Pending
15,15,392-73-4114,"Belinda Brandel",112-220-1409,bbrandele@mtv.com,07s-754.84,2021-07-13,2021-09-27,Off
16,20,619-82-3182,"Niel Nolleau",891-160-5650,nnolleauf@wikia.com,38y-993.74,2021-07-24,2021-09-14,Off
17,20,269-21-2228,"Jany Royal",923-972-6325,jroyalg@gravatar.com,65x-477.24,2021-07-18,2021-10-07,Busy
18,23,449-62-4898,"Sydelle Humphery",564-588-6813,shumpheryh@ask.com,39u-178.38,2021-07-25,2021-10-06,Off
19,26,862-56-3668,"Darrel Gaine",315-209-2037,dgainei@alibaba.com,63b-841.68,2021-07-28,2021-09-30,Busy
20,29,450-41-9315,"Cobby Chittem",719-739-4626,cchittemj@youtube.com,12i-177.65,2021-08-12,2021-09-20,Busy
